Laredo,TX,27.506407,-99.5075421
Las Vegas,NV,36.114646,-115.172816
Laurel,MS,31.6940509,-89.1306124
Lawton,OK,34.6086854,-98.3903305
Lexington,KY,38.0317136,-84.4951359
Lima,OH,40.742551,-84.1052256
Longview,TX,32.5007037,-94.7404891
Los Angeles,CA,34.0522342,-118.2436849
Louisville,KY,38.2542376,-85.759407
Lubbock,TX,33.5778631,-101.8551665
Lufkin,TX,31.3382406,-94.729097
Lynchburg,VA,37.4137536,-79.1422464
Macon,GA,32.8406946,-83.6324022
Madison,WI,43.0730517,-89.4012302
Manchester,NH,42.9956397,-71.4547891
Mankato,MN,44.1635775,-93.9993996
Marquette,MI,46.5435442,-87.395417
McAllen,TX,26.2034071,-98.2300124
Melbourne,FL,28.0836269,-80.6081089
Memphis,TN,35.1495343,-90.0489801
Meridian,MS,32.3643098,-88.703656
Midland,TX,31.9973456,-102.0779146
Milwaukee,WI,43.0389025,-87.9064736
Missoula,MT,46.872146,-113.9939982
Mitchell,SD,43.7094283,-98.0297992
Modesto,CA,37.6390972,-120.9968782
Moline,IL,41.5067003,-90.5151342
Montgomery,AL,32.3668052,-86.2999689
Montrose,CO,38.4783198,-107.8761738
Mount Vernon,IL,38.3172714,-88.9031201
Myrtle Beach,SC,33.6890603,-78.8866943
Nacogdoches,TX,31.6035129,-94.6554874
Naples,FL,26.1420358,-81.7948103
Nashville,TN,36.1658899,-86.7844432
New Bedford,MA,41.6362152,-70.934205
New Haven,CT,41.3081527,-72.9281577
New Orleans,LA,29.9647222,-90.0705556
New York,NY,40.7142691,-74.0059729
Newport News,VA,36.9787588,-76.428003
North Platte,NE,41.1238873,-100.7654232
Oak Hill,WV,37.9723339,-81.1487135
Oklahoma City,OK,35.4675602,-97.5164276
Omaha,NE,41.254006,-95.999258
Palm Springs,CA,33.8302961,-116.5452921
Panama City,FL,30.1588129,-85.6602058
Parkersburg,WV,39.2667418,-81.5615135
Pensacola ,FL,30.421309,-87.2169149
Pensacola,FL,30.421309,-87.2169149
Petersburg,VA,37.2279279,-77.4019267
Philadelphia,PA,39.952335,-75.163789
Phoenix,AZ,33.4483771,-112.0740373
Pine Bluff,AR,34.2284312,-92.0031955
Pittsburg,KS,37.410884,-94.70496
Pittsburgh,PA,40.4406248,-79.9958864
Plattsburgh,NY,44.6994873,-73.4529124
Pocatello,ID,42.8713032,-112.4455344
Port Arthur,TX,29.8849504,-93.939947
Portland,OR,45.5234515,-122.6762071
Presque Isle,ME,46.681153,-68.0158615
Pueblo,CO,38.2544472,-104.6091409
Rapid City,SD,44.0805434,-103.2310149
Redding,CA,40.5865396,-122.3916754
Reno,NV,39.5296329,-119.8138027
Rhinelander,WI,45.6366228,-89.4120753
Riverton,WY,43.0249592,-108.3801036
Rochester,NY,43.1547845,-77.6155567
Rockford,IL,42.2711311,-89.0939952
Rogers,AR,36.3320196,-94.1185366
Salinas,CA,36.6777372,-121.6555013
Salisbury,MD,38.3606736,-75.5993692
Salt Lake City,UT,40.7607793,-111.8910474
San Angelo,TX,31.4637723,-100.4370375
San Antonio,TX,29.4241219,-98.4936282
San Diego,CA,32.7153292,-117.1572551
San Jose,CA,37.3393857,-121.8949555
San Luis Obispo,CA,35.2827524,-120.6596156
Santa Fe,NM,35.6869752,-105.937799
Sarasota,FL,27.3364347,-82.5306527
Savannah,GA,32.0835407,-81.0998342
Scottsbluff,NE,41.86714,-103.660709
Scranton,PA,41.408969,-75.6624122
Selma,AL,32.4073589,-87.0211007
Shreveport,LA,32.5251516,-93.7501789
Sierra Vista,AZ,31.5455001,-110.2772856
Sioux City,IA,42.4999942,-96.4003069
Sioux Falls,SD,43.5499749,-96.700327
Spokane,WA,47.6587802,-117.4260466
Springfield,MO,37.215326,-93.2982436
Springfield,IL,39.8403147,-88.9548001
St. Joseph,MO,39.7577778,-94.8363889
St. Louis,MO,38.646991,-90.224967
St. Paul,MN,44.944167,-93.086075
St. Petersburg,FL,27.782254,-82.667619
Steubenville,OH,40.3697905,-80.6339638
Superior,WI,46.7207737,-92.1040796
Sweetwater,TX,32.4709519,-100.4059384
Syracuse,NY,43.0481221,-76.1474244
Tacoma,WA,47.2528768,-122.4442906
Terre Haute,IN,39.4667034,-87.4139092
Thomasville,GA,30.8365815,-83.9787808
Toledo,OH,41.6639383,-83.555212
Topeka,KS,39.0483336,-95.6780371
Troy,NY,42.7284117,-73.6917851
Tucson,AZ,32.2217429,-110.926479
Tulsa,OK,36.1539816,-95.992775
Twin Falls,ID,42.5629668,-114.4608711
Utica,NY,43.100903,-75.232664
Valley City,ND,46.9233129,-98.0031547
Victoria,TX,28.8052674,-97.0035982
Visalia,CA,36.3302284,-119.2920585
Washington DC ,MD,38.8951118,-77.0363658
Washington,NC,35.5465517,-77.0521742
Watertown,NY,43.9747838,-75.9107565
West Point,MS,33.6076186,-88.6503254
Weston,WV,39.0384274,-80.467313
Wichita Falls,OK,33.6953791,-98.3088441
Williston,ND,48.1469683,-103.6179745
Wilmington,NC,34.2257255,-77.9447102
Winston Salem,NC,36.0998596,-80.244216
York,PA,39.9625984,-76.727745
Youngstown,OH,41.0997803,-80.6495194
Zanesville,OH,39.9403453,-82.0131924
